
=== Scan started: 2026-03-09 20:38:13 ===
Target: localhost (127.0.0.1)
Ports: 1-500

Port   137 | closed/timeout | Service: N/A
Port   135 | open         | Service: epmap
Port     5 | closed/timeout | Service: N/A
Port     9 | closed/timeout | Service: N/A
Port    10 | closed/timeout | Service: N/A
Port    33 | closed/timeout | Service: N/A
Port    38 | closed/timeout | Service: N/A
Port     3 | closed/timeout | Service: N/A
Port     1 | closed/timeout | Service: N/A
Port     4 | closed/timeout | Service: N/A
Port    19 | closed/timeout | Service: N/A
Port    32 | closed/timeout | Service: N/A
Port    13 | closed/timeout | Service: N/A
Port    14 | closed/timeout | Service: N/A
Port    36 | closed/timeout | Service: N/A
Port    39 | closed/timeout | Service: N/A
Port     7 | closed/timeout | Service: N/A
Port     2 | closed/timeout | Service: N/A
Port    25 | closed/timeout | Service: N/A
Port    43 | closed/timeout | Service: N/A
Port    11 | closed/timeout | Service: N/A
Port    16 | closed/timeout | Service: N/A
Port    12 | closed/timeout | Service: N/A
Port    20 | closed/timeout | Service: N/A
Port    40 | closed/timeout | Service: N/A
Port    24 | closed/timeout | Service: N/A
Port    18 | closed/timeout | Service: N/A
Port    22 | closed/timeout | Service: N/A
Port    27 | closed/timeout | Service: N/A
Port    30 | closed/timeout | Service: N/A
Port    15 | closed/timeout | Service: N/A
Port    31 | closed/timeout | Service: N/A
Port    34 | closed/timeout | Service: N/A
Port    23 | closed/timeout | Service: N/A
Port     8 | closed/timeout | Service: N/A
Port    29 | closed/timeout | Service: N/A
Port    26 | closed/timeout | Service: N/A
Port    17 | closed/timeout | Service: N/A
Port    35 | closed/timeout | Service: N/A
Port    37 | closed/timeout | Service: N/A
Port    28 | closed/timeout | Service: N/A
Port    21 | closed/timeout | Service: N/A
Port    41 | closed/timeout | Service: N/A
Port     6 | closed/timeout | Service: N/A
Port    42 | closed/timeout | Service: N/A
Port    44 | closed/timeout | Service: N/A
Port    57 | closed/timeout | Service: N/A
Port    80 | closed/timeout | Service: N/A
Port    71 | closed/timeout | Service: N/A
Port    81 | closed/timeout | Service: N/A
Port    58 | closed/timeout | Service: N/A
Port    90 | closed/timeout | Service: N/A
Port    75 | closed/timeout | Service: N/A
Port    93 | closed/timeout | Service: N/A
Port    48 | closed/timeout | Service: N/A
Port   100 | closed/timeout | Service: N/A
Port    61 | closed/timeout | Service: N/A
Port    49 | closed/timeout | Service: N/A
Port    52 | closed/timeout | Service: N/A
Port    67 | closed/timeout | Service: N/A
Port    83 | closed/timeout | Service: N/A
Port    78 | closed/timeout | Service: N/A
Port    70 | closed/timeout | Service: N/A
Port    66 | closed/timeout | Service: N/A
Port    86 | closed/timeout | Service: N/A
Port    45 | closed/timeout | Service: N/A
Port    87 | closed/timeout | Service: N/A
Port    77 | closed/timeout | Service: N/A
Port    76 | closed/timeout | Service: N/A
Port    59 | closed/timeout | Service: N/A
Port    92 | closed/timeout | Service: N/A
Port    46 | closed/timeout | Service: N/A
Port    98 | closed/timeout | Service: N/A
Port    73 | closed/timeout | Service: N/A
Port    51 | closed/timeout | Service: N/A
Port    53 | closed/timeout | Service: N/A
Port    47 | closed/timeout | Service: N/A
Port    62 | closed/timeout | Service: N/A
Port    74 | closed/timeout | Service: N/A
Port    63 | closed/timeout | Service: N/A
Port    56 | closed/timeout | Service: N/A
Port    84 | closed/timeout | Service: N/A
Port    85 | closed/timeout | Service: N/A
Port    60 | closed/timeout | Service: N/A
Port    94 | closed/timeout | Service: N/A
Port    96 | closed/timeout | Service: N/A
Port    99 | closed/timeout | Service: N/A
Port    50 | closed/timeout | Service: N/A
Port    64 | closed/timeout | Service: N/A
Port    82 | closed/timeout | Service: N/A
Port    89 | closed/timeout | Service: N/A
Port    72 | closed/timeout | Service: N/A
Port    88 | closed/timeout | Service: N/A
Port    91 | closed/timeout | Service: N/A
Port    54 | closed/timeout | Service: N/A
Port    68 | closed/timeout | Service: N/A
Port    79 | closed/timeout | Service: N/A
Port    97 | closed/timeout | Service: N/A
Port    95 | closed/timeout | Service: N/A
Port    65 | closed/timeout | Service: N/A
Port    55 | closed/timeout | Service: N/A
Port    69 | closed/timeout | Service: N/A
Port   104 | closed/timeout | Service: N/A
Port   106 | closed/timeout | Service: N/A
Port   117 | closed/timeout | Service: N/A
Port   113 | closed/timeout | Service: N/A
Port   129 | closed/timeout | Service: N/A
Port   130 | closed/timeout | Service: N/A
Port   134 | closed/timeout | Service: N/A
Port   105 | closed/timeout | Service: N/A
Port   107 | closed/timeout | Service: N/A
